Name,XXXXX
Address,XXXXX
Account Number,XXXXX
Service,XXXXX

TYPE,START DATE,END DATE,USAGE,UNITS,COST,NOTES
Natural gas billing,2021-04-02,2021-05-03,25.00,therms,$43.12,
Natural gas billing,2021-05-04,2021-06-02,16.00,therms,$25.38,
Natural gas billing,2021-06-03,2021-07-01,8.00,therms,$12.73,
Natural gas billing,2021-07-02,2021-08-02,12.00,therms,$18.81,
Natural gas billing,2021-08-03,2021-09-01,13.00,therms,$20.94,
Natural gas billing,2021-09-02,2021-10-01,13.00,therms,$24.01,
Natural gas billing,2021-10-02,2021-11-01,17.00,therms,$35.65,
Natural gas billing,2021-11-02,2021-12-02,21.00,therms,$46.93,
Natural gas billing,2021-12-03,2021-12-30,38.00,therms,$85.41,
Natural gas billing,2021-12-31,2022-01-31,41.00,therms,$96.63,
Natural gas billing,2022-02-01,2022-03-02,34.00,therms,$78.91,
Natural gas billing,2022-03-03,2022-03-31,27.00,therms,$59.51,
Natural gas billing,2022-04-01,2022-05-02,24.00,therms,$53.46,
Natural gas billing,2022-05-03,2022-06-01,14.00,therms,$31.06,
Natural gas billing,2022-06-02,2022-06-30,9.00,therms,$20.49,
Natural gas billing,2022-07-01,2022-08-01,15.00,therms,$34.79,
Natural gas billing,2022-08-02,2022-08-31,8.00,therms,$17.85,
Natural gas billing,2022-09-01,2022-09-30,10.00,therms,$24.30,
Natural gas billing,2022-10-01,2022-10-31,10.00,therms,$25.34,
Natural gas billing,2022-11-01,2022-12-01,24.00,therms,$61.89,
Natural gas billing,2022-12-02,2022-12-30,27.00,therms,$70.75,
Natural gas billing,2022-12-31,2023-01-29,33.00,therms,$98.19,
Natural gas billing,2023-01-30,2023-03-02,43.00,therms,$130.27,
Natural gas billing,2023-03-03,2023-03-31,30.00,therms,$71.30,
Natural gas billing,2023-04-01,2023-05-02,22.00,therms,$40.78,
Natural gas billing,2023-05-03,2023-06-01,15.00,therms,$25.58,
Natural gas billing,2023-06-02,2023-06-30,13.00,therms,$22.92,
Natural gas billing,2023-07-01,2023-07-31,11.00,therms,$20.09,
Natural gas billing,2023-08-01,2023-08-30,6.00,therms,$11.27,
Natural gas billing,2023-08-31,2023-09-30,10.00,therms,$20.61,
Natural gas billing,2023-10-01,2023-10-31,13.00,therms,$29.29,
Natural gas billing,2023-11-01,2023-12-01,10.00,therms,$23.34,
Natural gas billing,2023-12-02,2024-01-02,22.00,therms,$56.01,
Natural gas billing,2024-01-03,2024-01-31,30.00,therms,$81.97,
Natural gas billing,2024-02-01,2024-03-01,26.00,therms,$69.59,
